model_key,respondent_id,indicator_name,indicator_value,is_valid_indicator,duration_sec
deepseek_r1_8b,DS0001,Envir01,4,1,0.3145314
deepseek_r1_8b,DS0001,Mobil05,4,1,0.3208853
deepseek_r1_8b,DS0001,LifSty07,4,1,7.8191329
deepseek_r1_8b,DS0001,Envir05,4,1,0.3227394
deepseek_r1_8b,DS0001,Mobil12,4,1,0.3416333
deepseek_r1_8b,DS0001,LifSty01,4,1,11.987386
deepseek_r1_8b,DS0002,Envir01,4,1,0.2877138
deepseek_r1_8b,DS0002,Mobil05,4,1,0.3053551
deepseek_r1_8b,DS0002,LifSty07,4,1,0.3137247
deepseek_r1_8b,DS0002,Envir05,4,1,0.3081536
deepseek_r1_8b,DS0002,Mobil12,4,1,0.3187297
deepseek_r1_8b,DS0002,LifSty01,4,1,0.3210397
deepseek_r1_8b,DS0003,Envir01,4,1,0.31022
deepseek_r1_8b,DS0003,Mobil05,4,1,0.3149593
deepseek_r1_8b,DS0003,LifSty07,4,1,0.3080394
deepseek_r1_8b,DS0003,Envir05,4,1,0.3138619
deepseek_r1_8b,DS0003,Mobil12,4,1,0.3162113
deepseek_r1_8b,DS0003,LifSty01,4,1,0.3076054
deepseek_r1_8b,DS0004,Envir01,4,1,0.3029909
deepseek_r1_8b,DS0004,Mobil05,4,1,0.3106365
deepseek_r1_8b,DS0004,LifSty07,4,1,0.3031802
deepseek_r1_8b,DS0004,Envir05,4,1,0.3112378
deepseek_r1_8b,DS0004,Mobil12,4,1,0.3135836
deepseek_r1_8b,DS0004,LifSty01,4,1,0.3040394
