parameter_name,human_estimate,source_table,normalization,source_note,estimate,difference_ai_minus_human,sign_match
ASC_ES_REL_CAR,1.504,Table_4,private_car_base_for_sd_subset,Computed as ASC_ES minus ASC_CAR from the paper.,10.565177809507768,9.061177809507768,1
ASC_BS_REL_CAR,1.879,Table_4,private_car_base_for_sd_subset,Computed as ASC_BS minus ASC_CAR from the paper.,-1.086839847156079,-2.965839847156079,0
ASC_WALK_REL_CAR,7.629,Table_4,private_car_base_for_sd_subset,Computed as ASC_WALK minus ASC_CAR from the paper.,3.840398694281706,-3.7886013057182937,1
AGE_ES_REL_CAR,-0.024,Table_4,private_car_base_for_sd_subset,Computed as AGE_ES minus AGE_CAR.,-4.419661188727137,-4.395661188727137,1
AGE_BS_REL_CAR,-0.014,Table_4,private_car_base_for_sd_subset,Computed as AGE_BS minus AGE_CAR.,-49.5473364997041,-49.5333364997041,1
AGE_WALK_REL_CAR,0.047,Table_4,private_car_base_for_sd_subset,Computed as AGE_WALK minus AGE_CAR.,15.346869867896698,15.299869867896698,1
BIKEACC_ES_REL_CAR,0.19,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_ES minus BIKEACC_CAR.,10.24646396670642,10.05646396670642,1
BIKEACC_BS_REL_CAR,0.724,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_BS minus BIKEACC_CAR.,-9.524213168811846,-10.248213168811846,0
BIKEACC_WALK_REL_CAR,-1.126,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_WALK minus BIKEACC_CAR.,-11.367461690947836,-10.241461690947837,1
CARACC_ES_REL_CAR,0.306,Table_4,private_car_base_for_sd_subset,Computed as CARACC_ES minus CARACC_CAR.,-151.76965750645596,-152.07565750645597,0
CARACC_BS_REL_CAR,0.138,Table_4,private_car_base_for_sd_subset,Computed as CARACC_BS minus CARACC_CAR.,-4.579507844915662,-4.717507844915662,0
CARACC_WALK_REL_CAR,-0.052,Table_4,private_car_base_for_sd_subset,Computed as CARACC_WALK minus CARACC_CAR.,-11.734783919024885,-11.682783919024885,1
PTPASS_ES_REL_CAR,-0.934,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_ES minus PTPASS_CAR.,133.6859439686119,134.6199439686119,0
PTPASS_BS_REL_CAR,-0.756,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_BS minus PTPASS_CAR.,-1.233509513452236,-0.477509513452236,1
PTPASS_WALK_REL_CAR,-0.915,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_WALK minus PTPASS_CAR.,-6.2126629433373,-5.2976629433373,1
MAAS_ES_REL_CAR,0.263,Table_4,private_car_base_for_sd_subset,Computed as MAAS_ES minus MAAS_CAR.,11.293644364063406,11.030644364063406,1
MAAS_BS_REL_CAR,0.058,Table_4,private_car_base_for_sd_subset,Computed as MAAS_BS minus MAAS_CAR.,-0.3083899083960393,-0.3663899083960393,0
MAAS_WALK_REL_CAR,-1.342,Table_4,private_car_base_for_sd_subset,Computed as MAAS_WALK minus MAAS_CAR.,-1.994456673371448,-0.6524566733714479,1
B_TIME_ES,-0.116,Table_4,direct,Mode-specific travel time coefficient for e-scootersharing.,-87.92383122102522,-87.80783122102522,1
B_TIME_BS,-0.09,Table_4,direct,Mode-specific travel time coefficient for bikesharing.,-21.65526914811183,-21.56526914811183,1
B_TIME_WALK,-0.212,Table_4,direct,Mode-specific travel time coefficient for walking.,-60.14662993798533,-59.93462993798533,1
B_TIME_CAR,-0.057,Table_4,direct,Mode-specific travel time coefficient for private car.,52.079186604605134,52.136186604605136,0
B_ACCESS_SHARED,-0.04,Table_4,direct,Shared-mode access time coefficient.,42.80556807187836,42.84556807187836,0
B_ACCESS_CAR,-0.034,Table_4,direct,Private-car access time coefficient.,5.410335076802355,5.444335076802354,0
B_EGRESS_SHARED,-0.03,Table_4,direct,Shared-mode egress time coefficient.,-9.459630886762245,-9.429630886762245,1
B_EGRESS_CAR,-0.042,Table_4,direct,Private-car egress time coefficient.,-85.2430486873513,-85.2010486873513,1
B_PARKING,-0.04,Table_4,direct,Generic parking-search-time coefficient.,56.91280200266561,56.95280200266561,0
B_COST_LOGMEAN,-1.886,Table_4,direct,Mean term in the log-normal cost coefficient.,-50.77750069820785,-48.89150069820785,1
SIGMA_COST,-1.414,Table_4,direct,Scale term in the log-normal cost coefficient.,-44.84214100570316,-43.42814100570316,1
B_AVAILABILITY,0.006,Table_4,direct,Availability coefficient for shared modes.,17.101951350465303,17.095951350465302,1
B_SCHEME_SD,0.418,Table_4,direct,Free-floating scheme coefficient for short-distance shared modes.,-9.629523471869728,-10.047523471869727,0
B_RANGE,0.006,Table_4,direct,Battery range coefficient for shared modes.,-41.22887850361667,-41.23487850361667,0
B_PEDELEC,-0.321,Table_4,direct,Pedelec dummy coefficient within bikesharing.,-1.4593952874587792,-1.1383952874587793,1
SIGMA_ES,1.315,Table_4,direct,Random intercept scale for e-scootersharing.,81.35967573201211,80.04467573201211,1
SIGMA_BS,1.587,Table_4,direct,Random intercept scale for bikesharing.,-10.066662334815216,-11.653662334815216,0
SIGMA_WALK,-2.933,Table_4,direct,Random intercept scale for walking.,0.0571436844243673,2.990143684424367,0
